iter	Passed	Remaining
740	8762	3062
741	8773	3050
742	8785	3038
743	8796	3026
744	8808	3015
745	8821	3003
746	8833	2991
747	8845	2979
748	8857	2968
749	8868	2956
750	8879	2944
751	8891	2932
752	8902	2920
753	8915	2908
754	8926	2896
755	8939	2885
756	8951	2873
757	8962	2861
758	8973	2849
759	8985	2837
760	8997	2825
761	9009	2813
762	9020	2801
763	9032	2790
764	9043	2778
765	9054	2766
766	9067	2754
767	9078	2742
768	9090	2730
769	9101	2718
770	9113	2706
771	9125	2695
772	9138	2683
773	9150	2671
774	9162	2660
775	9173	2648
776	9185	2636
777	9196	2624
778	9208	2612
779	9218	2600
780	9230	2588
781	9242	2576
782	9254	2564
783	9265	2552
784	9278	2541
785	9289	2529
786	9301	2517
787	9312	2505
788	9323	2493
789	9335	2481
790	9346	2469
791	9357	2457
792	9370	2445
793	9381	2434
794	9393	2422
795	9404	2410
796	9416	2398
797	9428	2386
798	9440	2375
799	9452	2363
800	9464	2351
801	9475	2339
802	9487	2327
803	9498	2315
804	9511	2304
805	9522	2291
806	9533	2280
807	9545	2268
808	9558	2256
809	9569	2244
810	9581	2232
811	9593	2221
812	9604	2209
813	9616	2197
814	9630	2186
815	9642	2174
816	9652	2162
817	9663	2150
818	9675	2138
819	9686	2126
820	9697	2114
821	9709	2102
822	9721	2090
823	9733	2078
824	9744	2067
825	9756	2055
826	9769	2043
827	9779	2031
828	9791	2019
829	9803	2007
830	9814	1995
831	9825	1984
832	9837	1972
833	9849	1960
834	9862	1948
835	9874	1937
836	9888	1925
837	9898	1913
838	9909	1901
839	9920	1889
840	9932	1877
841	9943	1865
842	9954	1853
843	9966	1842
844	9977	1830
845	9989	1818
846	10001	1806
847	10012	1794
848	10024	1782
849	10036	1771
850	10047	1759
851	10060	1747
852	10071	1735
853	10083	1723
854	10093	1711
855	10104	1699
856	10116	1688
857	10129	1676
858	10143	1664
859	10154	1653
860	10166	1641
861	10179	1629
862	10192	1618
863	10204	1606
864	10215	1594
865	10229	1582
866	10240	1570
867	10251	1558
868	10262	1547
869	10274	1535
870	10287	1523
871	10299	1511
872	10310	1499
873	10322	1488
874	10334	1476
875	10346	1464
876	10357	1452
877	10370	1441
878	10383	1429
879	10395	1417
880	10408	1405
881	10419	1394
882	10431	1382
883	10442	1370
884	10453	1358
885	10465	1346
886	10476	1334
887	10488	1322
888	10501	1311
889	10512	1299
890	10525	1287
891	10537	1275
892	10549	1264
893	10560	1252
894	10573	1240
895	10585	1228
896	10598	1216
897	10609	1205
898	10622	1193
899	10633	1181
900	10645	1169
901	10657	1157
902	10668	1145
903	10679	1134
904	10691	1122
905	10703	1110
906	10715	1098
907	10727	1086
908	10738	1075
909	10749	1063
910	10762	1051
911	10774	1039
912	10786	1027
913	10797	1015
914	10810	1004
915	10823	992
916	10834	980
917	10845	968
918	10856	956
919	10869	945
920	10882	933
921	10893	921
922	10904	909
923	10916	897
924	10928	886
925	10940	874
926	10954	862
927	10966	850
928	10979	839
929	10991	827
930	11002	815
931	11014	803
932	11027	791
933	11038	780
934	11050	768
935	11063	756
936	11075	744
937	11087	732
938	11099	721
939	11110	709
940	11123	697
941	11135	685
942	11146	673
943	11158	661
944	11171	650
945	11184	638
946	11196	626
947	11209	614
948	11220	602
949	11231	591
950	11242	579
951	11254	567
952	11266	555
953	11278	543
954	11290	532
955	11303	520
956	11314	508
957	11324	496
958	11334	484
959	11348	472
960	11359	460
961	11372	449
962	11383	437
963	11395	425
964	11406	413
965	11417	401
966	11429	390
967	11440	378
968	11452	366
969	11463	354
970	11476	342
971	11488	330
972	11499	319
973	11511	307
974	11523	295
975	11535	283
976	11546	271
977	11558	260
978	11569	248
979	11580	236
980	11591	224
981	11603	212
982	11613	200
983	11624	189
984	11635	177
985	11648	165
986	11658	153
987	11671	141
988	11682	129
989	11694	118
990	11705	106
991	11717	94
992	11729	82
993	11740	70
994	11750	59
995	11762	47
996	11774	35
997	11785	23
998	11796	11
999	11807	0
833	0
